,Movie,Score,Year,Director,Cast,Link
26,Interstellar,8.6,2014,Christopher Nolan,"Matthew McConaughey, Anne Hathaway",https://imbd.com/title/tt0816692/
27,La guerra de las galaxias,8.6,1977,George Lucas,"Mark Hamill, Harrison Ford",https://imbd.com/title/tt0076759/
28,Terminator 2: El juicio final,8.5,1991,James Cameron,"Arnold Schwarzenegger, Linda Hamilton",https://imbd.com/title/tt0103064/
29,Regreso al futuro,8.5,1985,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd",https://imbd.com/title/tt0088763/
30,El viaje de Chihiro,8.5,2001,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette",https://imbd.com/title/tt0245429/
31,Psicosis,8.5,1960,Alfred Hitchcock,"Anthony Perkins, Janet Leigh",https://imbd.com/title/tt0054215/
32,El pianista,8.5,2002,Roman Polanski,"Adrien Brody, Thomas Kretschmann",https://imbd.com/title/tt0253474/
33,El profesional (Léon),8.5,1994,Luc Besson,"Jean Reno, Gary Oldman",https://imbd.com/title/tt0110413/
34,Parásitos,8.5,2019,Bong Joon Ho,"Song Kang-ho, Sun-kyun Lee",https://imbd.com/title/tt6751668/
35,El rey león,8.5,1994,Roger Allers,"Matthew Broderick, Jeremy Irons",https://imbd.com/title/tt0110357/
36,Gladiator (El gladiador),8.5,2000,Ridley Scott,"Russell Crowe, Joaquin Phoenix",https://imbd.com/title/tt0172495/
37,American History X,8.5,1998,Tony Kaye,"Edward Norton, Edward Furlong",https://imbd.com/title/tt0120586/
38,Sospechosos habituales,8.5,1995,Bryan Singer,"Kevin Spacey, Gabriel Byrne",https://imbd.com/title/tt0114814/
39,Infiltrados,8.5,2006,Martin Scorsese,"Leonardo DiCaprio, Matt Damon",https://imbd.com/title/tt0407887/
40,El truco final (El prestigio),8.5,2006,Christopher Nolan,"Christian Bale, Hugh Jackman",https://imbd.com/title/tt0482571/
41,Casablanca,8.5,1942,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman",https://imbd.com/title/tt0034583/
42,Whiplash,8.5,2014,Damien Chazelle,"Miles Teller, J.K. Simmons",https://imbd.com/title/tt2582802/
43,Intocable,8.5,2011,Olivier Nakache,"François Cluzet, Omar Sy",https://imbd.com/title/tt1675434/
44,Harakiri,8.5,1962,Masaki Kobayashi,"Tatsuya Nakadai, Akira Ishihama",https://imbd.com/title/tt0056058/
